                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                0.42054,                0.42308,                 0.8966,                0.92434,                   0.91,                0.93752,                0.87772,                0.37019,                0.39656,                0.79714,              0.0010298,              0.0010298,              0.0010298
                    100,                0.42445,                0.42278,                0.89775,                0.94113,                    0.9,                0.94934,                0.88074,                0.37856,                0.38615,                0.80952,              0.0010199,              0.0010199,              0.0010199
                    101,                0.42494,                 0.4257,                 0.9012,                0.92779,                0.92081,                0.95028,                 0.8848,                0.36564,                0.36981,                0.79883,                0.00101,                0.00101,                0.00101
                    102,                0.41553,                0.42341,                0.89992,                0.92476,                0.92181,                0.94715,                0.88016,                0.36179,                0.39145,                0.79092,              0.0010001,              0.0010001,              0.0010001
                    103,                0.42166,                0.42093,                0.89853,                0.93482,                  0.905,                0.94633,                0.88296,                0.36039,                0.37838,                0.79693,              0.0009902,              0.0009902,              0.0009902
                    104,                0.41781,                 0.4159,                 0.8933,                0.95192,                0.91167,                0.95029,                0.88951,                0.35473,                0.37085,                0.78604,              0.0009803,              0.0009803,              0.0009803
                    105,                0.41649,                0.41883,                0.89393,                0.94317,                0.91273,                0.95142,                0.88611,                0.35831,                0.37748,                0.78723,              0.0009704,              0.0009704,              0.0009704
                    106,                0.41621,                0.41889,                0.89444,                0.91372,                0.91784,                  0.949,                0.88586,                0.35667,                0.37451,                0.78714,              0.0009605,              0.0009605,              0.0009605
                    107,                0.41551,                0.41422,                0.89241,                0.92761,                0.89697,                 0.9439,                0.88087,                0.37082,                0.40104,                0.79775,              0.0009506,              0.0009506,              0.0009506
                    108,                0.40937,                 0.4108,                0.89092,                0.94965,                0.90167,                0.95102,                0.88897,                0.35447,                0.38014,                0.79013,              0.0009407,              0.0009407,              0.0009407
                    109,                0.40932,                0.41061,                0.89937,                0.93154,                 0.9071,                0.95043,                0.88903,                0.35552,                0.36744,                0.79051,              0.0009308,              0.0009308,              0.0009308
                    110,                0.41545,                0.40914,                0.89583,                0.94036,                0.89355,                  0.953,                0.89428,                0.35468,                0.38024,                0.79008,              0.0009209,              0.0009209,              0.0009209
                    111,                0.41009,                0.40989,                 0.8919,                 0.9411,                0.90539,                0.95142,                0.89383,                0.35232,                0.37805,                0.79195,               0.000911,               0.000911,               0.000911
                    112,                0.40797,                0.40879,                0.89518,                0.95051,                0.89635,                0.95276,                0.89622,                 0.3477,                0.37686,                0.78891,              0.0009011,              0.0009011,              0.0009011
                    113,                0.41296,                0.40757,                0.89546,                0.94099,                0.90361,                0.94954,                0.89069,                0.33543,                0.36887,                0.78005,              0.0008912,              0.0008912,              0.0008912
                    114,                 0.4108,                 0.4069,                0.89201,                0.93532,                0.91582,                0.94692,                0.88718,                0.34699,                0.37685,                0.78315,              0.0008813,              0.0008813,              0.0008813
                    115,                0.40768,                0.40472,                0.89553,                 0.9278,                0.93167,                0.95453,                0.89091,                0.34355,                0.36973,                0.80051,              0.0008714,              0.0008714,              0.0008714
                    116,                0.40527,                0.39998,                0.89021,                0.93876,                   0.91,                0.95423,                0.89366,                0.34562,                0.36141,                0.78549,              0.0008615,              0.0008615,              0.0008615
                    117,                0.41188,                0.40773,                0.89546,                0.94643,                  0.915,                 0.9563,                0.89648,                0.33577,                0.34793,                0.78352,              0.0008516,              0.0008516,              0.0008516
                    118,                0.40856,                0.40276,                0.89216,                0.94537,                0.92299,                0.95266,                0.89321,                0.33776,                0.36517,                0.77829,              0.0008417,              0.0008417,              0.0008417
                    119,                0.40866,                0.40728,                0.89294,                 0.9328,                0.92534,                0.95099,                 0.8904,                 0.3469,                0.37715,                0.78084,              0.0008318,              0.0008318,              0.0008318
                    120,                0.40168,                0.39401,                0.88916,                0.93508,                0.92333,                0.95228,                0.89443,                 0.3423,                0.36603,                 0.7812,              0.0008219,              0.0008219,              0.0008219
                    121,                0.40419,                0.39157,                0.89084,                0.94803,                0.91333,                0.95597,                0.88989,                0.35143,                0.35595,                0.78993,               0.000812,               0.000812,               0.000812
                    122,                0.40548,                 0.3948,                0.88907,                   0.93,                0.92998,                0.95213,                0.89547,                0.34666,                0.35491,                0.78032,              0.0008021,              0.0008021,              0.0008021
                    123,                 0.3979,                0.39418,                0.88572,                0.91428,                0.93667,                0.95221,                0.90081,                0.33186,                0.35663,                0.77213,              0.0007922,              0.0007922,              0.0007922
                    124,                0.39492,                 0.3848,                0.88519,                0.92866,                   0.92,                0.95103,                0.89738,                0.33859,                0.35563,                0.77625,              0.0007823,              0.0007823,              0.0007823
                    125,                0.40353,                0.39503,                0.89019,                0.95433,                0.90333,                0.95514,                0.89541,                0.33249,                0.35427,                0.78399,              0.0007724,              0.0007724,              0.0007724
                    126,                0.39412,                0.38654,                0.88701,                0.93465,                 0.9296,                0.95322,                0.89676,                0.33891,                0.35539,                0.78198,              0.0007625,              0.0007625,              0.0007625
                    127,                0.39156,                0.38888,                0.88657,                0.93409,                0.92114,                0.95185,                0.89643,                0.33461,                0.36408,                0.78526,              0.0007526,              0.0007526,              0.0007526
                    128,                0.39678,                0.39527,                0.88526,                0.93807,                  0.915,                0.95439,                0.89728,                0.34055,                0.35456,                  0.781,              0.0007427,              0.0007427,              0.0007427
                    129,                0.39052,                0.38218,                0.88497,                0.93731,                0.92206,                0.95144,                0.89672,                0.33421,                0.35462,                0.78489,              0.0007328,              0.0007328,              0.0007328
                    130,                0.39156,                0.38241,                0.88398,                0.94341,                0.91683,                0.95386,                0.89927,                0.32947,                0.35069,                0.78217,              0.0007229,              0.0007229,              0.0007229
                    131,                0.38926,                0.38449,                0.88308,                 0.9405,                  0.905,                0.95378,                0.89834,                0.32799,                0.34733,                0.78611,               0.000713,               0.000713,               0.000713
                    132,                0.39064,                0.37983,                 0.8849,                0.92663,                0.92616,                0.94997,                0.89662,                0.31846,                0.35193,                0.77534,              0.0007031,              0.0007031,              0.0007031
                    133,                 0.3875,                0.37693,                0.88599,                0.94658,                0.91544,                0.95189,                0.89963,                0.32916,                0.35823,                0.77968,              0.0006932,              0.0006932,              0.0006932
                    134,                0.38412,                0.37707,                0.88264,                0.95192,                0.91167,                0.95415,                0.89807,                0.32481,                0.33758,                 0.7751,              0.0006833,              0.0006833,              0.0006833
                    135,                0.39142,                0.37952,                0.88411,                0.94365,                  0.925,                0.95576,                0.89911,                0.32451,                0.34385,                0.77932,              0.0006734,              0.0006734,              0.0006734
                    136,                0.38315,                0.37314,                0.87814,                0.95123,                0.91015,                0.95589,                0.89982,                0.32544,                0.33976,                0.77494,              0.0006635,              0.0006635,              0.0006635
                    137,                0.38206,                0.37449,                0.88148,                0.93163,                0.92667,                0.95342,                0.90217,                0.31921,                0.33748,                0.77243,              0.0006536,              0.0006536,              0.0006536
                    138,                0.38973,                0.38177,                0.87937,                 0.9356,                   0.93,                0.95669,                0.90364,                0.32313,                0.33469,                0.78079,              0.0006437,              0.0006437,              0.0006437
                    139,                0.38334,                0.36997,                0.88153,                0.92745,                0.93745,                0.95746,                0.90588,                0.32108,                0.33461,                0.77438,              0.0006338,              0.0006338,              0.0006338
                    140,                0.38078,                0.36573,                0.88355,                0.93402,                0.92012,                0.95295,                0.89936,                0.32683,                0.34682,                0.78159,              0.0006239,              0.0006239,              0.0006239
                    141,                0.38558,                0.37684,                0.88305,                0.92442,                   0.94,                0.95671,                0.90439,                0.31012,                0.32736,                0.77458,               0.000614,               0.000614,               0.000614
                    142,                0.38532,                0.37692,                0.88189,                0.94985,                0.91553,                0.95699,                0.90478,                0.31684,                0.33081,                0.77365,              0.0006041,              0.0006041,              0.0006041
                    143,                0.38819,                0.37398,                0.88674,                0.94872,                0.92499,                0.95576,                 0.9029,                0.31967,                0.33453,                0.78175,              0.0005942,              0.0005942,              0.0005942
                    144,                0.37995,                0.37123,                0.88272,                0.94361,                   0.93,                0.96241,                0.90676,                0.30771,                0.32697,                 0.7678,              0.0005843,              0.0005843,              0.0005843
                    145,                0.37767,                0.36643,                0.88202,                0.95804,                0.90667,                0.96054,                0.90785,                0.30762,                0.33054,                0.77138,              0.0005744,              0.0005744,              0.0005744
                    146,                0.36695,                0.36623,                0.87964,                0.94043,                0.92092,                0.96311,                0.90861,                0.31114,                0.33401,                0.77428,              0.0005645,              0.0005645,              0.0005645
                    147,                0.38057,                0.36693,                0.88348,                0.92885,                0.93554,                0.96013,                0.90471,                0.31482,                0.33664,                0.76865,              0.0005546,              0.0005546,              0.0005546
                    148,                0.37217,                0.35605,                0.87822,                0.92908,                   0.94,                 0.9609,                0.90533,                0.31532,                0.32252,                0.77277,              0.0005447,              0.0005447,              0.0005447
                    149,                 0.3728,                0.36242,                0.87819,                0.93486,                0.92833,                0.95757,                0.90505,                0.31954,                 0.3358,                0.77548,              0.0005348,              0.0005348,              0.0005348
                    150,                0.37112,                0.35916,                0.87463,                0.93639,                0.93225,                0.95661,                0.90992,                0.31071,                 0.3313,                0.77597,              0.0005249,              0.0005249,              0.0005249
                    151,                0.37369,                0.35804,                0.87679,                0.94089,                0.92861,                0.96312,                0.91093,                0.30834,                0.32269,                0.77169,               0.000515,               0.000515,               0.000515
                    152,                0.36936,                 0.3566,                 0.8762,                0.93779,                0.92963,                 0.9557,                0.90428,                0.30995,                0.34104,                0.76942,              0.0005051,              0.0005051,              0.0005051
                    153,                0.37373,                0.36091,                0.87903,                0.93476,                0.93134,                0.96036,                 0.9077,                0.31298,                0.32635,                0.77276,              0.0004952,              0.0004952,              0.0004952
                    154,                0.36558,                0.35353,                0.87493,                0.93852,                0.94167,                0.96271,                0.91104,                0.30739,                0.31521,                0.76737,              0.0004853,              0.0004853,              0.0004853
                    155,                0.37153,                0.35293,                0.87625,                0.93049,                   0.94,                0.96362,                0.90846,                0.30558,                0.31614,                0.77384,              0.0004754,              0.0004754,              0.0004754
                    156,                0.36701,                0.35181,                0.87372,                0.94301,                0.93167,                0.95674,                0.90288,                0.31132,                0.32147,                0.77385,              0.0004655,              0.0004655,              0.0004655
                    157,                0.36725,                0.36036,                0.87743,                 0.9338,                0.93667,                0.96091,                0.91223,                0.30216,                0.32382,                0.77011,              0.0004556,              0.0004556,              0.0004556
                    158,                0.36488,                0.35161,                 0.8748,                0.95674,                0.92156,                0.96251,                0.91145,                0.30604,                0.31258,                0.76748,              0.0004457,              0.0004457,              0.0004457
                    159,                0.36563,                0.34968,                0.87581,                0.93125,                   0.94,                0.96303,                0.91507,                0.30533,                0.31171,                0.76746,              0.0004358,              0.0004358,              0.0004358
                    160,                0.36114,                0.34506,                0.87188,                0.95171,                0.91965,                0.96223,                0.91279,                0.30671,                0.31866,                0.77119,              0.0004259,              0.0004259,              0.0004259
                    161,                0.36958,                0.34969,                0.87437,                0.94212,                0.92229,                0.95835,                 0.9112,                0.30212,                0.31999,                0.76828,               0.000416,               0.000416,               0.000416
                    162,                0.36279,                0.34828,                0.87297,                0.93823,                   0.93,                0.95884,                0.91209,                0.30383,                  0.315,                0.77303,              0.0004061,              0.0004061,              0.0004061
                    163,                 0.3695,                  0.355,                0.87714,                0.94987,                   0.92,                0.95766,                 0.9087,                0.30854,                0.32456,                0.77106,              0.0003962,              0.0003962,              0.0003962
                    164,                0.36151,                0.34796,                0.87222,                0.95021,                 0.9224,                0.96126,                0.91066,                0.31057,                0.32349,                0.77195,              0.0003863,              0.0003863,              0.0003863
                    165,                0.36192,                0.34616,                0.87323,                0.94021,                 0.9435,                0.96148,                0.91505,                0.30275,                0.31497,                0.77162,              0.0003764,              0.0003764,              0.0003764
                    166,                0.35442,                0.33939,                0.87156,                0.96355,                0.91333,                0.96373,                0.91627,                0.30241,                0.31665,                0.77056,              0.0003665,              0.0003665,              0.0003665
                    167,                0.36071,                0.34866,                0.87526,                0.94154,                0.93942,                0.96262,                0.91743,                0.29544,                0.29883,                0.76074,              0.0003566,              0.0003566,              0.0003566
                    168,                0.35813,                0.33942,                0.87342,                0.95503,                0.92035,                0.96452,                0.91661,                0.29679,                0.30499,                0.76287,              0.0003467,              0.0003467,              0.0003467
                    169,                0.35518,                0.34071,                0.87244,                0.95056,                   0.92,                0.96495,                0.91708,                 0.2958,                0.30799,                0.76514,              0.0003368,              0.0003368,              0.0003368
                    170,                0.35329,                0.33854,                0.86882,                0.94886,                0.92779,                0.96467,                0.91627,                 0.2964,                0.30191,                0.76457,              0.0003269,              0.0003269,              0.0003269
                    171,                0.35442,                0.33808,                0.87309,                0.94353,                0.93167,                0.96112,                0.91138,                0.29975,                0.30591,                0.76482,               0.000317,               0.000317,               0.000317
                    172,                0.35931,                0.34152,                0.87446,                0.95253,                0.92667,                0.96467,                0.91671,                0.30318,                0.30623,                0.76744,              0.0003071,              0.0003071,              0.0003071
                    173,                0.35374,                0.34145,                0.87211,                0.95564,                   0.92,                0.96505,                0.91975,                0.30182,                0.30735,                0.76537,              0.0002972,              0.0002972,              0.0002972
                    174,                0.35186,                0.34041,                0.87063,                0.94592,                   0.93,                0.96235,                0.91727,                0.30001,                0.31147,                0.76841,              0.0002873,              0.0002873,              0.0002873
                    175,                 0.3495,                0.33885,                0.86978,                0.93635,                0.93667,                0.96122,                0.91539,                0.29842,                0.30904,                 0.7662,              0.0002774,              0.0002774,              0.0002774
                    176,                0.35223,                0.33385,                0.87051,                0.95036,                0.92333,                0.96188,                0.91656,                0.29035,                0.29851,                0.76089,              0.0002675,              0.0002675,              0.0002675
                    177,                0.34638,                0.33211,                0.86768,                0.94696,                   0.93,                0.96104,                0.91641,                0.29429,                 0.3138,                0.76341,              0.0002576,              0.0002576,              0.0002576
                    178,                0.34648,                 0.3294,                0.87255,                0.95506,                0.92098,                 0.9642,                0.91623,                0.29252,                0.31122,                0.76189,              0.0002477,              0.0002477,              0.0002477
                    179,                 0.3518,                0.33626,                0.87115,                0.95014,                0.92667,                0.96167,                0.91564,                0.29135,                0.31657,                 0.7624,              0.0002378,              0.0002378,              0.0002378
                    180,                 0.3498,                0.33106,                0.86591,                0.94466,                0.93167,                0.96454,                0.91965,                0.29011,                 0.3121,                0.76201,              0.0002279,              0.0002279,              0.0002279
                    181,                0.34584,                 0.3294,                0.86732,                 0.9488,                0.92651,                0.96038,                0.91573,                0.28771,                0.30658,                0.75975,               0.000218,               0.000218,               0.000218
                    182,                0.34515,                0.32951,                0.86902,                0.93885,                   0.93,                0.96508,                0.91867,                0.28486,                0.29578,                0.75853,              0.0002081,              0.0002081,              0.0002081
                    183,                0.34701,                 0.3287,                0.86647,                0.94717,                0.93167,                0.96373,                  0.919,                0.28451,                0.29685,                0.75816,              0.0001982,              0.0001982,              0.0001982
                    184,                0.34478,                 0.3242,                0.86678,                0.95709,                0.92939,                0.96429,                0.91891,                0.28549,                0.29636,                 0.7543,              0.0001883,              0.0001883,              0.0001883
                    185,                0.34601,                0.32621,                0.86678,                0.94894,                0.92925,                0.96614,                 0.9229,                0.28348,                 0.3027,                0.75544,              0.0001784,              0.0001784,              0.0001784
                    186,                 0.3377,                0.32529,                0.86726,                0.96147,                0.91504,                0.96605,                0.92009,                0.28566,                0.30489,                0.75734,              0.0001685,              0.0001685,              0.0001685
                    187,                0.35307,                0.33009,                0.86891,                0.95505,                  0.925,                0.96402,                0.91887,                0.28435,                0.29829,                0.75718,              0.0001586,              0.0001586,              0.0001586
                    188,                0.34371,                0.32597,                0.86819,                0.95145,                0.92833,                0.96524,                0.91961,                0.28368,                0.29263,                 0.7604,              0.0001487,              0.0001487,              0.0001487
                    189,                0.34636,                0.32967,                0.86876,                0.95035,                 0.9252,                0.96467,                 0.9181,                0.28086,                0.29623,                 0.7574,              0.0001388,              0.0001388,              0.0001388
                    190,                0.31385,                0.28406,                 0.8503,                0.95324,                0.91745,                0.95969,                0.91392,                0.29727,                 0.3091,                0.76403,              0.0001289,              0.0001289,              0.0001289
                    191,                0.30702,                0.27145,                0.84325,                0.94936,                0.92167,                0.95993,                0.91216,                0.29712,                   0.31,                0.76512,               0.000119,               0.000119,               0.000119
                    192,                0.30411,                0.27235,                0.84692,                0.95025,                0.92313,                0.96278,                0.91503,                0.29605,                0.30919,                0.76214,              0.0001091,              0.0001091,              0.0001091
                    193,                0.30026,                0.26271,                0.84263,                0.95373,                   0.92,                0.96409,                0.91909,                0.29325,                0.30962,                0.76054,               9.92e-05,               9.92e-05,               9.92e-05
                    194,                0.29919,                0.26431,                  0.845,                0.93641,                0.93263,                 0.9657,                0.91881,                 0.2931,                0.31084,                0.76054,               8.93e-05,               8.93e-05,               8.93e-05
                    195,                0.29978,                 0.2625,                0.84407,                0.95051,                   0.92,                0.96564,                0.91775,                0.29192,                0.30503,                 0.7598,               7.94e-05,               7.94e-05,               7.94e-05
                    196,                0.29377,                0.25715,                0.84168,                0.95041,                   0.92,                 0.9649,                0.91792,                  0.288,                0.30105,                0.75748,               6.95e-05,               6.95e-05,               6.95e-05
                    197,                 0.2952,                 0.2628,                0.84061,                0.95305,                   0.92,                0.96609,                0.92039,                0.28877,                0.30752,                0.75884,               5.96e-05,               5.96e-05,               5.96e-05
                    198,                0.29165,                0.25547,                0.84168,                0.94878,                0.91667,                0.96454,                0.92006,                0.28674,                 0.3082,                0.75784,               4.97e-05,               4.97e-05,               4.97e-05
                    199,                0.29444,                0.25869,                0.84318,                0.95455,                0.91667,                0.96543,                0.92026,                0.28601,                0.30801,                0.75633,               3.98e-05,               3.98e-05,               3.98e-05
